nombre,categoria,direccion,telefono,web,rating,num_reseñas,estado_horario,url_maps,latitud,longitud,busqueda,tiene_web
CLÍNICA DENTAL ESCARIZ,Dentista,"C. de Mejía Lequerica, 7, Centro, 28004 Madrid",915 93 16 60,clinicadentalescariz.com,"4,8",55,,"https://www.google.com/maps/place/CL%C3%8DNICA+DENTAL+ESCARIZ/@40.4231504,-3.7169747,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd422889310558bd:0xd82a87af9bc34e4!8m2!3d40.4265733!4d-3.6981846!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQdkZW50aXN0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5RWjB4TWVraG5FQUXgAQD6AQQIABBK!16s%2Fg%2F1hc102sp5?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4231504,-3.7169747,clínicas dentales en Madrid,Sí
IQDental,Dentista,"Calle Hermanos Álvarez Quintero, 4, Centro, 28004 Madrid",917 52 76 55,iqdental.es,"4,9",133,Cerrado,"https://www.google.com/maps/place/IQDental/@40.4231504,-3.7169747,15z/data=!3m1!5s0xd42288eb0cb34cf:0x574c8553e270ef94!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd42288eb72848e9:0xff58afb93050a47!8m2!3d40.4273446!4d-3.6973449!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQdkZW50aXN0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVI0YjAxTGNIQjNSUkFC4AEA-gEECAAQLw!16s%2Fg%2F11ckrhlv21?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4231504,-3.7169747,clínicas dentales en Madrid,Sí
Clínica Dental Claudio Coello 8,Dentista,"C. de Claudio Coello, 8, Salamanca, 28001 Madrid",915 77 09 30,,"4,7",13,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Dental+Claudio+Coello+8/@40.4212341,-3.704991,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd4228999b435921:0x6f9ac6a2f5eb6ed9!8m2!3d40.4212341!4d-3.6869666!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQdkZW50aXN0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU14Y3kxVVNUWkJSUkFC4AEA-gEFCLoCECs!16s%2Fg%2F11g02b5jq4?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4212341,-3.704991,clínicas dentales en Madrid,No
Clínica Dental Chamberí,Clínica dental,"Calle de Palafox, 11, Chamberí, 28010 Madrid",915 76 61 50,clinicachamberi.com,"4,9",150,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Dental+Chamber%C3%AD/@40.4212341,-3.704991,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd4229fc1abf29bd:0x1db84674acb26565!8m2!3d40.431003!4d-3.701225!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQ1kZW50YWxfY2xpbmljmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1YWVGSkdWa05YYlRsRlRrWkdURmt4WkZWbFJURkNVbTFhVG1Gc1JSQULgAQD6AQQIXhBC!16s%2Fg%2F11p16mhjvg?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4212341,-3.704991,clínicas dentales en Madrid,Sí
Clínica Dental Chamberí,Clínica dental,"Calle de Palafox, 11, Chamberí, 28010 Madrid",915 76 61 50,clinicachamberi.com,"4,9",150,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Dental+Chamber%C3%AD/@40.431003,-3.7192494,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd4229fc1abf29bd:0x1db84674acb26565!8m2!3d40.431003!4d-3.701225!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQ1kZW50YWxfY2xpbmljmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1YWVGSkdWa05YYlRsRlRrWkdURmt4WkZWbFJURkNVbTFhVG1Gc1JSQULgAQD6AQQIXhBC!16s%2Fg%2F11p16mhjvg?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.431003,-3.7192494,clínicas dentales en Madrid,Sí
"EDA, Clínica Dental en Chamberí",Clínica dental,"Calle de Sta Engracia, 15, Chamberí, 28010 Madrid",914 42 66 58,estudiodentalabascal.com,"4,9",181,Cerrado,"https://www.google.com/maps/place/EDA,+Cl%C3%ADnica+Dental+en+Chamber%C3%AD/@40.431003,-3.7192494,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd4228f204eb4b6f:0x133f9aca1576fc20!8m2!3d40.4299761!4d-3.6968359!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQ1kZW50YWxfY2xpbmljmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1R1ZGRjZaRnBpYWxWNVRsUktSMk5zUm14UlZGWnVaRlZPVkdKdVl4QULgAQD6AQQIbhBF!16s%2Fg%2F1tgm44n8?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.431003,-3.7192494,clínicas dentales en Madrid,Sí
Liscano León Dental,Clínica dental,"Costanilla de Capuchinos, 3, Centro, 28004 Madrid",640 02 57 55,liscanoleondental.com,"5,0",145,Cerrado,"https://www.google.com/maps/place/Liscano+Le%C3%B3n+Dental/@40.431003,-3.7192494,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd4229f9b2f0b0a9:0xfe4a4e6a846f3da6!8m2!3d40.4215158!4d-3.6997488!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQ1kZW50YWxfY2xpbmljmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1dk0xWkhTa3BSYTA1VVlrZHplbU5JUmt0YVJFNVZWMVpHYW1KWVl4QULgAQD6AQQIMBA-!16s%2Fg%2F11td20j1md?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.431003,-3.7192494,clínicas dentales en Madrid,Sí
Clínica Eire,Clínica dental,"C. del Conde de Aranda, 20, 1 derecha Planta 1, Salamanca, 28001 Madrid",600 54 30 07,,"5,0",127,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Eire/@40.4215953,-3.7034718,15z/data=!3m1!5s0xd4228979b5cc92f:0x262d8197f9553501!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd422899ae3e2a4b:0x8a6511770cf59556!8m2!3d40.4215953!4d-3.6854474!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQ1kZW50YWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0zTXpsdFJFRm5FQUXgAQD6AQQIABBE!16s%2Fg%2F1td5sl66?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4215953,-3.7034718,clínicas dentales en Madrid,No
Clínica Dental Madrid | Klinik Dental®,Clínica dental,"Calle de Zurbano, 39, Chamberí, 28010 Madrid",684 77 30 27,klinik.dental,"5,0",14,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Dental+Madrid+%7C+Klinik+Dental%C2%AE/@40.4215953,-3.7034718,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd4227d4366000bd:0xc390cb57ad441d8e!8m2!3d40.4333801!4d-3.6935382!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQ1kZW50YWxfY2xpbmljmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0b2IyTlhNRE5SVms0MFV6Tk9lV0pWV2t0VVJteFBWakI0YldSSVl4QULgAQD6AQQIABAi!16s%2Fg%2F11md2zmq6m?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4215953,-3.7034718,clínicas dentales en Madrid,Sí
Clínica Dental Velazquez,Dentista,"Calle Velázquez, 118, Salamanca, 28006 Madrid",915 62 43 04,clinicadentalvelazquez.com,"4,9",256,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Dental+Velazquez/@40.4362546,-3.7010386,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd4228ea86d7f9b3:0x35c04ad79085d3e!8m2!3d40.4362546!4d-3.6830142!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQdkZW50aXN0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU55YkU1NmFHcFJSUkFC4AEA-gEECAAQMg!16s%2Fg%2F1tfxzbdm?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4362546,-3.7010386,clínicas dentales en Madrid,Sí
