nombre,categoria,direccion,telefono,web,rating,num_reseñas,estado_horario,url_maps,latitud,longitud,busqueda,tiene_web
Clínica Dental Doctores Hurtado,Dentista,"C. de San Marcos, 37, Centro, 28004 Madrid",915 22 69 33,,"4,6",37,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Dental+Doctores+Hurtado/@40.421877,-3.7083,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd422885daae918b:0xcda4d8553117d0cd!8m2!3d40.4212509!4d-3.6971865!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQdkZW50aXN0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5TZEhWbExUQjNSUkFC4AEA-gEFCK0BECs!16s%2Fg%2F1xtf2whb?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.421877,-3.7083,clínicas dentales en Madrid,No
Clínica Dental Claudio Coello 8,Dentista,"C. de Claudio Coello, 8, Salamanca, 28001 Madrid",915 77 09 30,,"4,7",13,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Dental+Claudio+Coello+8/@40.4212341,-3.704991,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd4228999b435921:0x6f9ac6a2f5eb6ed9!8m2!3d40.4212341!4d-3.6869666!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQdkZW50aXN0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU14Y3kxVVNUWkJSUkFC4AEA-gEFCLoCECs!16s%2Fg%2F11g02b5jq4?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4212341,-3.704991,clínicas dentales en Madrid,No
Clínica Eire,Clínica dental,"C. del Conde de Aranda, 20, 1 derecha Planta 1, Salamanca, 28001 Madrid",600 54 30 07,,"5,0",127,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Eire/@40.4215953,-3.7034718,15z/data=!3m1!5s0xd4228979b5cc92f:0x262d8197f9553501!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd422899ae3e2a4b:0x8a6511770cf59556!8m2!3d40.4215953!4d-3.6854474!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQ1kZW50YWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0zTXpsdFJFRm5FQUXgAQD6AQQIABBE!16s%2Fg%2F1td5sl66?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4215953,-3.7034718,clínicas dentales en Madrid,No
ESTETICA AVANZADA NOMAD,Centro de estética,"C. de José Ortega y Gasset, 70, Salamanca, 28006 Madrid",682 47 68 91,,"4,7",303,Cerrado,"https://www.google.com/maps/place/ESTETICA+AVANZADA+NOMAD/@40.4248639,-3.9703849,11z/data=!4m11!1m3!2m2!1scentros+de+est%C3%A9tica+avanzada+con+aparatolog%C3%ADa!6e1!3m6!1s0xd42291edf47330b:0xbc9e50a73e9e689d!8m2!3d40.4296369!4d-3.6743864!15sCi9jZW50cm9zIGRlIGVzdMOpdGljYSBhdmFuemFkYSBjb24gYXBhcmF0b2xvZ8OtYVoxIi9jZW50cm9zIGRlIGVzdMOpdGljYSBhdmFuemFkYSBjb24gYXBhcmF0b2xvZ8OtYZIBDGJlYXV0eV9zYWxvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSNGRVeFFUakozUlJBQuABAPoBBQjdARBJ!16s%2Fg%2F11smv3_rwc?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4248639,-3.9703849,centros de estética avanzada con aparatología,No
Centro Veterinario General Arrando,Veterinario,"Calle del General Arrando, 9, Chamberí, 28010 Madrid",914 48 41 74,,"4,7",116,Cerrado,"https://www.google.com/maps/place/Centro+Veterinario+General+Arrando/@40.434051,-3.7706607,13z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+veterinarias+urbanas!3m6!1s0xd42288ceebf1755:0xa94e8c594e2a5876!8m2!3d40.4317874!4d-3.6959801!15sCh5jbMOtbmljYXMgdmV0ZXJpbmFyaWFzIHVyYmFuYXNaICIeY2zDrW5pY2FzIHZldGVyaW5hcmlhcyB1cmJhbmFzkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJsTFV4eWRuUjNSUkFC4AEA-gEECAAQNQ!16s%2Fg%2F11xkr7nl_?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.434051,-3.7706607,clínicas veterinarias urbanas,No
Clínica Veterinaria Numancia II,Veterinario,"C. de Seco, 5, Retiro, 28007 Madrid",915 51 19 37,,"4,5",87,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Veterinaria+Numancia+II/@40.4126156,-3.80262,13z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+veterinarias+urbanas!3m6!1s0xd42260dffbc707f:0xc5a6a1ef0fcc5fec!8m2!3d40.3985084!4d-3.6722412!15sCh5jbMOtbmljYXMgdmV0ZXJpbmFyaWFzIHVyYmFuYXNaICIeY2zDrW5pY2FzIHZldGVyaW5hcmlhcyB1cmJhbmFzkgEMdmV0ZXJpbmFyaWFumgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJwQ2VsZFZPVXRTVlhCT1ZHczVhazVXYkRSWmFURjFUV3BqTTJWSVl4QULgAQD6AQQIABBB!16s%2Fg%2F11btx5n_84?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4126156,-3.80262,clínicas veterinarias urbanas,No
